raclog,int_tex,ingles,redacao,grupo,Socio
7.6923076923076925,7.0,8.666666666666668,8.0,CDF,A
9.615384615384615,7.25,9.0,8.0,CDF,A
9.615384615384615,6.25,8.666666666666668,8.5,CDF,A
9.615384615384615,7.0,7.333333333333333,9.0,CDF,A
9.230769230769232,7.25,7.0,8.5,CDF,A
5.769230769230768,5.25,7.0,8.0,CDF,B
6.538461538461538,7.5,6.666666666666666,7.0,CDF,B
9.230769230769232,5.0,8.333333333333334,9.0,CDF,B
8.076923076923077,5.75,8.666666666666668,8.0,CDF,B
7.3076923076923075,5.5,8.333333333333334,9.0,CDF,B
7.3076923076923075,7.5,5.666666666666666,9.0,CDF,C
10.0,6.0,7.0,7.0,CDF,C
6.923076923076923,6.5,7.666666666666667,8.0,CDF,C
5.769230769230768,6.75,8.0,9.0,CDF,C
4.615384615384616,5.25,8.333333333333334,9.5,CDF,C
7.6923076923076925,6.5,6.0,8.5,CDF,D
6.538461538461538,5.25,6.666666666666666,6.0,CDF,D
4.615384615384616,7.5,9.0,9.0,CDF,D
5.769230769230768,4.5,8.666666666666668,9.0,CDF,D
8.846153846153847,7.75,9.0,6.0,CDF,D
5.384615384615384,7.0,7.666666666666667,8.0,CDF,A
9.615384615384615,5.75,6.666666666666666,8.0,CDF,A
9.230769230769232,7.5,8.0,6.0,CDF,A
4.230769230769231,5.75,6.0,8.0,CDF,A
3.076923076923077,5.5,8.666666666666668,8.0,CDF,A
9.230769230769232,4.0,6.666666666666666,7.0,CDF,B
8.461538461538462,6.75,7.666666666666667,7.0,CDF,B
6.153846153846154,5.75,9.0,8.0,CDF,B
8.461538461538462,6.5,8.0,8.0,CDF,B
6.153846153846154,6.25,5.0,7.0,CDF,B
7.6923076923076925,5.75,8.666666666666668,7.0,CDF,C
6.538461538461538,6.5,8.0,6.0,CDF,C
7.6923076923076925,5.0,7.333333333333333,9.0,CDF,C
8.461538461538462,5.5,7.666666666666667,8.0,CDF,C
5.0,6.5,8.333333333333334,8.0,CDF,C
5.0,6.25,7.0,9.0,CDF,D
7.6923076923076925,6.5,7.666666666666667,7.0,CDF,D
6.538461538461538,6.25,7.666666666666667,8.0,CDF,D
8.461538461538462,7.5,6.333333333333333,7.0,CDF,D
6.153846153846154,5.0,6.666666666666666,9.0,CDF,D
3.4615384615384617,6.0,7.333333333333333,7.0,Fundão,A
3.076923076923077,6.0,5.666666666666666,8.5,Fundão,A
7.3076923076923075,4.75,4.666666666666667,7.0,Fundão,A
4.230769230769231,5.75,5.333333333333333,8.0,Fundão,A
4.230769230769231,4.75,5.666666666666666,8.5,Fundão,A
2.307692307692308,5.0,7.333333333333333,8.5,Fundão,B
5.384615384615384,3.5,7.0,7.5,Fundão,B
3.4615384615384617,5.0,6.666666666666666,8.0,Fundão,B
8.461538461538462,4.5,7.333333333333333,4.0,Fundão,B
3.4615384615384617,4.5,7.0,8.0,Fundão,B
6.153846153846154,5.75,7.0,5.0,Fundão,C
9.615384615384615,3.25,4.666666666666667,6.0,Fundão,C
4.615384615384616,5.25,5.0,8.0,Fundão,C
5.0,5.5,5.666666666666666,7.0,Fundão,C
6.153846153846154,6.0,4.0,7.0,Fundão,C
5.384615384615384,5.75,5.0,7.0,Fundão,D
6.153846153846154,5.25,4.666666666666667,7.0,Fundão,D
5.384615384615384,5.0,4.333333333333334,8.0,Fundão,D
3.076923076923077,4.25,6.0,9.0,Fundão,D
4.230769230769231,5.0,6.666666666666666,7.0,Fundão,D
6.153846153846154,6.0,6.333333333333333,5.0,Fundão,D
4.615384615384616,4.5,6.666666666666666,7.0,Fundão,A
3.4615384615384617,4.5,6.333333333333333,8.0,Fundão,A
6.538461538461538,4.25,3.333333333333333,8.0,Fundão,A
3.8461538461538463,5.25,4.333333333333334,8.5,Fundão,A
6.538461538461538,4.5,5.666666666666666,6.0,Fundão,A
3.8461538461538463,5.5,6.0,7.0,Fundão,B
6.538461538461538,5.75,5.666666666666666,5.0,Fundão,B
4.615384615384616,5.0,4.333333333333334,8.0,Fundão,B
5.0,5.25,7.666666666666667,5.0,Fundão,B
5.0,6.25,4.0,7.0,Fundão,B
3.4615384615384617,6.0,5.666666666666666,7.0,Fundão,C
6.538461538461538,5.5,4.333333333333334,6.0,Fundão,C
6.923076923076923,5.0,4.333333333333334,6.0,Fundão,C
3.076923076923077,3.5,7.0,8.0,Fundão,C
5.384615384615384,3.75,3.6666666666666665,8.5,Fundão,C
5.384615384615384,4.75,6.0,6.0,Fundão,C
8.076923076923077,5.0,4.333333333333334,5.0,Fundão,D
3.076923076923077,6.0,5.666666666666666,7.0,Fundão,D
4.615384615384616,6.75,4.666666666666667,6.0,Fundão,D
6.153846153846154,6.5,4.666666666666667,5.0,Fundão,D
4.230769230769231,4.75,4.333333333333334,8.0,Fundão,D
6.538461538461538,4.75,3.333333333333333,7.0,Fundão,A
5.769230769230768,5.5,4.666666666666667,6.0,Fundão,A
3.8461538461538463,4.75,4.666666666666667,8.0,Fundão,A
5.0,4.25,6.666666666666666,6.0,Fundão,A
2.692307692307692,4.5,5.333333333333333,8.5,Fundão,A
2.307692307692308,5.5,5.333333333333333,8.0,Fundão,B
5.384615384615384,6.75,6.333333333333333,4.0,Fundão,B
5.384615384615384,5.75,6.0,5.0,Fundão,B
5.0,6.0,4.666666666666667,6.0,Fundão,B
8.846153846153847,3.75,4.333333333333334,5.0,Fundão,B
5.0,5.25,6.666666666666666,5.0,Fundão,B
1.5384615384615385,4.0,7.333333333333333,8.0,Fundão,C
3.8461538461538463,6.0,4.333333333333334,7.0,Fundão,C
7.3076923076923075,4.5,5.0,5.0,Fundão,C
3.4615384615384617,4.0,6.0,7.5,Fundão,C
1.5384615384615385,4.25,6.333333333333333,8.5,Fundão,C
4.615384615384616,5.5,4.0,7.0,Fundão,C
7.6923076923076925,4.75,4.333333333333334,5.0,Fundão,D
3.8461538461538463,6.5,6.333333333333333,5.0,Fundão,D
5.0,6.0,5.666666666666666,5.0,Fundão,D
4.230769230769231,5.75,5.333333333333333,6.0,Fundão,D
4.615384615384616,5.0,4.333333333333334,7.0,Fundão,D
5.769230769230768,4.5,5.0,6.0,Fundão,A
2.692307692307692,5.5,5.666666666666666,7.0,Fundão,A
5.0,5.5,4.666666666666667,6.0,Fundão,A
2.307692307692308,4.5,5.666666666666666,8.0,Fundão,A
5.769230769230768,5.25,5.333333333333333,5.0,Fundão,A
5.0,4.0,7.333333333333333,5.0,Fundão,A
4.230769230769231,4.75,3.333333333333333,8.0,Fundão,B
2.307692307692308,6.0,5.333333333333333,7.0,Fundão,B
6.538461538461538,4.0,5.666666666666666,5.0,Fundão,B
4.615384615384616,5.25,6.333333333333333,5.0,Fundão,B
2.692307692307692,6.5,4.333333333333334,7.0,Fundão,B
5.384615384615384,3.75,5.666666666666666,6.0,Fundão,C
6.538461538461538,5.25,5.666666666666666,4.0,Fundão,C
5.384615384615384,5.0,4.333333333333334,6.0,Fundão,C
3.8461538461538463,5.5,5.333333333333333,6.0,Fundão,C
7.3076923076923075,5.25,4.666666666666667,4.0,Fundão,C
